😀,u1f600,GRINNING FACE
🍊,u1f34a,TANGERINE
🍋,u1f34b,LEMON
🍌,u1f34c,BANANA
🍍,u1f34d,PINEAPPLE
🌶,u1f336-ufe0f,HOT PEPPER
🥑,u1f951,AVOCADO
🍞,u1f35e,BREAD
🥖,u1f956,BAGUETTE BREAD
🧀,u1f9c0,CHEESE WEDGE
🌭,u1f32d,HOT DOG
🎂,u1f382,BIRTHDAY CAKE
🧁,u1f9c1,CUPCAKE
☕️,u2615,HOT BEVERAGE
🍽,u1f37d-ufe0f,FORK AND KNIFE WITH PLATE
🍴,u1f374,FORK AND KNIFE
🎉,u1f389,PARTY POPPER
🎊,u1f38a,CONFETTI BALL
🎈,u1f388,BALLOON
🧸,u1f9f8,TEDDY BEAR
🎁,u1f381,WRAPPED GIFT
🎄,u1f384,CHRISTMAS TREE
🎠,u1f3a0,CAROUSEL HORSE
👑,u1f451,CROWN
💎,u1f48e,GEM STONE
🕶,u1f576,DARK SUNGLASSES
🎵,u1f3b5,MUSICAL NOTE
🎶,u1f3b6,MULTIPLE MUSICAL NOTES
🎼,u1f3bc,MUSICAL SCORE
🎧,u1f3a7,HEADPHONE
🏆️,u1f3c6,TROPHY
🏅,u1f3c5,SPORTS MEDAL
🥇,u1f947,1ST PLACE MEDAL
🥈,u1f948,2ND PLACE MEDAL
🥉,u1f949,3RD PLACE MEDAL
🎖️,u1f396-ufe0f,MILITARY MEDAL
🎗,u1f397,REMINDER RIBBON
📰,u1f4f0,NEWSPAPER
🔮,u1f52e,CRYSTAL BALL
🪄,u1fa84,MAGIC WAND
